BRANCHCODE,BRANCH,TARGETLTL,TARGETFTL
322,AGARTALA,1.5,4.0
323,AIZWAL,0.4,0.0
391,AMINGAON,0.0,0.0
376,BARPETA,0.0,0.0
334,BONGAIGAON,0.0,0.0
339,DHARMANAGAR,0.0,0.0
324,DIBRUGARH,0.0,0.0
325,DIMAPUR,0.1,0.0
335,DHUBRI,0.0,0.0
321,GUWAHATI,0.0,0.0
103,GUWAHATI BOOKING,3.1,0.0
379,BELTALA (PAMOHI),29.1,30.7
326,IMPHAL,0.3,0.0
337,JAGIROAD,0.0,0.0
327,JORHAT,1.3,0.0
336,KARIMGANJ,0.0,0.0
386,NAHARLAGUN,0.0,0.0
330,NAGAON,0.1,0.0
332,SHILLONG,0.0,0.0
383,SHIV SAGAR-SF,0.0,0.0
328,SILCHAR,1.0,3.5
382,UDAIPUR (TRIPURA),0.0,0.0
329,TINSUKIA,1.0,1.0
319,TEZPUR,0.0,0.0
341,KOLKATA,22.0,11.4
377,COSSIPORE,13.0,7.4
387,ALAMPUR-HUB,0.0,0.0
359,PETRAPOLE,0.0,0.0
344,DANKUNI,33.0,50.4
384,SANTIPUR SF,0.0,0.0
389,HOWRAH-SA,0.0,0.0
364,BALASORE,0.0,0.0
367,JHARSAGUDA,0.0,0.0
365,ROURKELA,0.0,0.0
374,BHADRAK,0.0,0.0
604,JAINAGAR,0.0,0.0
314,MADHUBANI,0.0,0.0
301,PATNA,4.8,6.5
606,SITAMARHI,0.0,0.0
353,COOCH BEHAR,1.5,0.0
357,DINHATA NEW SF,0.0,0.0
358,GANGTOK,0.0,0.0
343,JAIGAON,0.8,0.0
349,JALPAIGURI,0.0,0.0
368,RANGPOO,0.8,0.0
381,SILIGURI,15.2,12.0
345,SILIGURI-HUB,0.0,0.0
252,BHIWADI,15.0,22.0
101,DELHI-DARYAGANJ,9.0,11.5
146,DELHI-K.GATE OFFICE,18.6,10.2
115,DELHI-S.BAZAR,25.0,7.9
122,DELHI-T.P.NAGAR,50.2,56.1
114,DELHI-OKHLA,15.2,11.1
222,FARIDABAD,29.0,20.0
183,GHAZIABAD,1.5,5.0
223,GURGAON,18.5,24.2
163,MEERUT,24.0,9.1
262,NEEMRANA,8.0,17.9
168,NOIDA,23.6,22.3
182,NOIDA-88,7.0,8.3
173,SAHIBABAD,21.4,27.0
178,SONIPAT,6.5,9.8
132,DELHI-TIKRI BORDER,18.4,8.8
177,U.P.BORDER,25.0,3.6
117,U.P.BORDER-HUB,0.0,0.0
137,KUNDLI,21.0,12.2
124,BAWANA,9.2,0.0
150,DELHI-BHALSWA SF,0.0,0.0
286,DELHI-ADARSH NAGAR SF,0.4,0.0
249,DELHI-BHAJANPURA SF,0.3,0.0
104,DELHI-C.CHOWK,2.7,0.0
276,DELHI-C.CHOWK 2,0.0,0.0
125,DELHI-DURGAPURI,0.0,0.0
105,DELHI-GANDHI NAGAR,1.2,0.0
274,DELHI-GANDHI NAGAR(M.M),0.6,0.0
136,DELHI-JHILMIL,0.0,0.0
106,DELHI-K.GANJ,5.4,0.0
278,DELHI-K.GATE (SF),0.2,0.0
108,DELHI-K.MARKET,9.0,0.0
120,DELHI-KAROL BAGH,14.5,0.5
109,DELHI-M.NAGAR,4.5,0.0
296,DELHI-MANDOLI-SF,0.2,0.0
112,DELHI-NANGLOI,12.0,2.9
113,DELHI-NARAINA,15.0,1.0
295,DELHI-OKHLA -SF,0.3,0.0
149,DELHI-PATPARGANJ,0.2,0.0
119,DELHI-V.NAGAR,0.7,0.0
130,DELHI-V.NAGAR NEW,2.0,0.0
123,NARELA,4.6,0.0
234,ALIGARH,1.4,0.0
275,ALIGARH (HR),0.0,0.0
246,BAHADURGARH NEW (CLOSED),0.0,0.0
279,FARIDABAD (SF),0.0,0.0
159,GHAZIABAD-SF,6.5,0.0
197,TRONICA CITY(GZB),7.0,2.5
148,HISSAR CANT- SF,0.0,0.0
239,KARNAL NEW SF,4.0,0.0
229,KUNDLI-SF,12.0,0.5
242,MANESAR,1.1,0.0
162,MATHURA,0.0,0.0
270,MEERUT-SF,0.0,0.0
166,MORADABAD,2.9,0.0
292,DELHI NANGLI,0.1,0.0
291,NOIDA-SF,0.1,0.0
225,PANIPAT,17.0,3.0
196,PILKHUWA NEW SF,0.0,0.0
269,PRATAPGARH-SF,0.0,0.0
244,ROHTAK NEW-SF,2.0,0.0
282,SAMPLA -SF,0.0,0.0
147,SONIPAT NEW SF1,0.2,0.0
277,SURAJPUR (G.NOIDA),0.0,0.0
245,SAIDPUR NEW -SF,0.0,0.0
281,SAHARANPUR -SF1,0.0,0.0
172,SAHARANPUR,3.0,0.0
289,JAIPUR,43.0,27.8
251,JAIPUR-HUB,0.0,0.0
263,JAIPUR TRANSPORT NGR,0.0,0.0
287,JAIPUR-SF,0.4,0.0
265,PALI NEW SF,0.5,1.5
267,BALOTRA NEW,1.0,0.0
260,BEAWAR,0.1,0.0
257,BHILWARA,7.0,0.0
253,BIKANER,0.0,0.0
263,JAIPUR TRANSPORT NGR,0.6,0.0
293,JODHPUR,1.2,0.5
266,JODHPUR NEW SF,1.1,0.0
259,UDAIPUR,4.0,7.5
154,PRAYAGRAJ,1.5,6.0
192,BARABANKI,0.2,0.4
157,BARHNI,0.1,0.9
597,GWALIOR,6.5,16.0
581,GWALIOR NEW SF,0.0,0.0
176,GORAKPUR,5.5,9.0
199,HATHRAS,0.0,0.0
151,KANPUR,22.0,27.7
161,LUCKNOW,14.0,22.0
175,VARANASI,2.5,5.0
155,AGRA,2.0,4.0
152,AGRA SF,4.0,14.0
156,BAREILLY (CLOSED),0.0,0.0
181,JALALPUR,0.4,0.0
179,MAU NATH,0.0,0.0
167,MUZAFFARNAGAR (CLOSED),0.0,0.0
160,SHERKOT SF,0.1,0.0
180,TANDA,0.1,0.0
221,AMBALA - HUB,0.0,0.0
219,AMBALA,9.5,13.1
201,AMRITSAR,5.0,2.6
215,BADDI,29.0,8.9
209,CHANDIGARH,24.2,16.7
211,DINANAGAR,0.1,0.0
204,JALANDHAR,13.3,7.9
206,LUDHIANA,0.0,0.0
210,LUDHIANA CITY,0.0,0.0
205,LUDHIANA T.P.NAGAR,44.0,28.9
228,YAMUNANAGAR,0.0,0.0
220,AMBALA-SF,3.6,0.0
202,BATALA (CLOSED),0.0,0.0
247,BATALA NEW-SF (CLOSED),0.0,0.0
248,BATALA -SF,1.0,0.0
203,GORAYA,0.8,0.0
224,JAGADHRI,7.7,0.0
271,JAMMU-SF,0.0,0.0
280,JAGADHRI-NEW SF,0.4,0.0
212,LUDHIANA-SF,1.9,0.0
207,MALERKOTLA,0.0,0.0
208,PHAGWARA,1.4,0.0
214,UNA,0.2,0.5
158,DEHRADUN,6.0,11.9
186,HARIDWAR,13.0,18.4
187,KASSIPUR,3.8,4.6
185,RUDRAPUR,4.0,6.5
272,SELAQUI,10.0,5.6
188,SITARGANJ,0.8,1.5
184,ROORKEE,9.0,15.1
402,HYDERABAD,22.0,78.1
429,AUTONAGAR (HYD),5.0,5.0
431,JEEDIMETLA (HYD),15.3,6.2
436,MALLAPUR,0.0,0.0
412,MEDCHAL,2.0,0.0
432,PATANCHERU (HYD),9.5,17.2
443,FABCITY-SF (HYD),0.0,0.0
439,NACHARAM (HYD),0.0,0.0
411,VIJAYAWADA,15.0,37.0
419,VISHAKHAPATNAM,3.0,1.9
401,BANGALORE,17.0,21.0
427,BANGALORE CITY,8.0,5.8
435,BOMMASANDRA,10.0,18.0
442,HOSKOTE,5.0,12.0
418,HOSUR,6.5,6.7
447,HUBLI,3.0,17.0
425,MYSURE,7.0,6.0
448,TUMKUR,3.3,4.0
142,COCHIN,7.0,5.5
445,KOTTAYAM,6.1,4.4
403,MADRAS,24.3,50.3
407,COIMBATORE,15.3,10.7
406,ERODE,12.0,3.7
417,MADURAI,4.5,6.9
410,PUDUCHERRY,3.5,9.5
444,SRICITY,5.0,20.0
415,TIRUPUR,5.5,4.9
414,B.KOMARAPALAYAM,1.5,0.0
409,CHENNIMELAI,1.5,0.0
452,CHENNAI-SF,0.0,0.0
434,KARUR NEW SF,3.0,0.5
438,SALEM NEW -SF,0.0,0.0
363,BERHAMPUR,0.0,0.0
361,CUTTACK,0.0,0.0
583,AHMEDABAD,8.0,15.4
501,AHMEDABAD-HUB,0.0,0.0
515,CHHATRAL,11.0,7.6
596,CHANGODAR,0.0,0.0
503,NAROL,10.5,4.7
555,ODHAV,21.0,9.7
580,AHMEDABAD NEW SF (CLOSED),0.0,0.0
590,NARODA -SF,0.0,0.0
600,PALANPUR SF,0.0,0.0
538,SANAND,14.0,0.0
500,SANTEJ,25.0,6.0
506,UNJHA,0.0,0.0
565,VATVA,13.1,9.1
